Count,Region,Guild,Player,UID,CP,FDU,FDD,Total Finals,Tribulation,Has Chaos,Updated?
188,NA,HeavenFighters,HF-Virnox,81020365212,1260,347,428.7,775.7,CE1,Luohou,Y
189,NA,DownFall,We-Want-Flib,81013447378,863.13,405.2,370.2,775.4,CK3,N,Y
190,NA,HeavenFighters,HF-Pis&luv,81024097156,679,366.7,407,773.7,CK2,N,Y
191,NA,StarWar,✰☬|lovefist,81012548988,834.08,343.1,429.5,772.6,CK2,N,Y
192,NA,StarWar,✰☬|Ŵingz,81009375962,1030,354.8,417.5,772.3,CK3,N,Y
193,NA,UnderWorld,ashh,81013867948,854.81,372.2,399.2,771.4,CK2,N,Y
194,NA,Dominion,⚔️Chaos⚔️,81004513460,995.76,355.7,414.5,770.2,CK3,N,Y
195,NA,DownFall,DF遠處的青蛙,81017562048,1030,380.5,387.6,768.1,CK3,N,Y
196,NA,UnderWorld,(UW)Despair,81018773969,1610,375,392.6,767.6,CE2,N,Y
197,NA,Underdogs,𝕌𝔻|𝔾ogh,81012728282,549.01,344.4,422.1,766.5,DL3,N,AFK
198,NA,HeavenFighters,HF-基督是王,81020536959,827.72,360.9,404.2,765.1,CK2,N,Y
199,NA,StarWar,✰☬|尽hecks⊹━┈,81009384345,848.97,345.5,417.3,762.8,CK2,N,Y
200,NA,UnderWorld,(UW)Chaos,81018490208,28.78,335.1,427,762.1,GA3,N,Y
201,NA,Underdogs,𝕌𝔻|Beast🐾,81007460127,303.73,352.3,406.8,759.1,DL1,Diting,AFK
202,NA,StarWar,bigasian,81012826052,80.54,370.9,384.9,755.8,CI3,N,Y
203,NA,Dominion,⚔︎Huhk⚔︎,81004224530,723.12,363.9,391.3,755.2,CK2,N,Y
204,NA,Divinity,☀️Losn,81021822360,669.93,356.1,395.1,751.2,CK2,N,Y
205,NA,|MF|Misfits,MF|VeryDum,81003324977,505.54,364.9,380.7,745.6,CK1,N,AFK
206,NA,DownFall,Beast,81013397284,983.76,368.1,376.8,744.9,CK3,N,Y
207,NA,Divinity,☀️Griz,81024503282,217.71,362.2,379.3,741.5,GI3,N,Y
208,NA,DownFall,kumochan,81013932635,357.47,352,387.5,739.5,DL3,N,Y
209,NA,UnderWorld,UWlegacy,81018714897,826.22,375.2,364.1,739.3,CK2,N,Y
210,NA,StarWar,⚡︎ZEUS⚡︎,81011298630,811.36,336.5,402.1,738.6,CK2,N,Y
211,NA,DownFall,DF-◉⁠‿⁠◉,81013526204,782.21,368.6,367.1,735.7,CK2,N,Y
212,NA,DownFall,deer,81015102502,695.64,360.9,374.6,735.5,CK1,N,Y
213,NA,UnderWorld,(UW)♡nikko♡︎,81016730841,613.84,361,373.4,734.4,CK1,N,AFK
214,NA,Divinity,☀️Eliezor🌞,81022515894,196.58,337.6,395.3,732.9,GI3,N,Y
