Count,Region,Guild,Player,UID,CP,FDU,FDD,Total Finals,Tribulation,Has Chaos,Updated?
134,NA,HeavenFighters,HF-🐔红坤,81020641820,1320,373.7,488.5,862.2,CE1,N,Y
135,NA,UnderWorld,(UW)Fwire,81018234329,1390,386.3,474.3,860.6,CE1,N,Y
136,NA,UnderWorld,մꮗ✯︎︎ᚲคᛗ,81018886141,942.37,413.7,445.9,859.6,CK2,N,AFK
137,NA,Liberation,🛡️Gray🛡️,81001504658,1720,422.4,426.4,848.8,CE2,N,Y
138,NA,Underdogs,UD/princess,81010963408,1270,402.1,446,848.1,CK2,Kunpeng,Y
139,NA,DownFall,DFSlayer,81015981858,926.24,413.8,433.7,847.5,CK2,N,Y
140,NA,Divinity,Kurtis,81024194138,833.76,390.6,455.1,845.7,CK1,Anzu,Y
141,NA,StarWar,✰☬|perplex,81008298799,1140,400.2,442.2,842.4,CK3,N,Y
142,NA,Divinity,☀️|Involved,81023607099,554.83,389.5,451.9,841.4,DL3,N,Y
143,NA,StarWar,💫⚔️Xerox,81011524806,1150,404.3,436.5,840.8,CK3,N,AFK
144,NA,DownFall,Ezheros,81016023229,587.83,423.9,416.5,840.4,DL3,N,Y
145,NA,DownFall,𝔇𝔉|Tide,81017193315,259.06,415.5,424.2,839.7,GI3,Diting,Y
146,NA,Dominion,⚔︎Jimmyjoe⚔︎,81002418043,513.36,415.3,424.2,839.5,DL3,N,Y
147,NA,UnderWorld,(UW)Dad_Goku,81018545190,1050,402.7,431.3,834,CK3,N,Y
148,NA,Dominion,⚔︎Orz⚔︎,81000604615,130.72,381,448.7,829.7,SI3,N,Y
149,NA,Dominion,⚔︎Raka⚔︎,81000125010,980.88,407.9,420.3,828.2,CK2,N,Y
150,NA,DownFall,DFStoner,81014143945,939.26,410.8,416.2,827,CK3,N,Y
151,NA,Dominion,⚔︎RenaJo⚔︎,81004164750,846.89,421,405.6,826.6,CK2,N,Y
152,NA,StarWar,✰☬|𝔾ogh,81010338588,1060,400.6,424.2,824.8,CK3,N,Y
153,NA,Liberation,🛡️Suki🛡️,81000652542,910.25,406.9,417.2,824.1,CK2,N,Y
154,NA,|MF|Misfits,∆•Sausage•∆,81005816482,1210,380,442.9,822.9,CK3,N,AFK
155,NA,StarWar,✰☬|Rizza,81008251495,1020,393.9,427.1,821,CK3,N,Y
156,NA,StarWar,SWaggyFlaps,81010666391,577.72,400.5,418.8,819.3,DL3,N,Y
157,NA,|MF|Misfits,Mitzenrugi,81005882142,1290,397,422.2,819.2,CE1,N,Y
158,NA,StarWar,✰☬|KVN,81007300422,76.19,387.3,431.7,819,CI3,N,Y
159,NA,DownFall,DF~HighKing,81018642196,999.41,381.6,436.9,818.5,CK3,N,Y
160,NA,HeavenFighters,HF-Matt,81020525217,1190,382,429.9,811.9,CK3,N,Y
161,NA,DownFall,DF~Jake,81014537708,998.94,358.2,453.3,811.5,CK2,N,Y
162,NA,StarWar,💫⚔️Kayla,81011561796,818.88,386.4,422.7,809.1,CK2,N,Y
163,NA,Divinity,☀️Kunbo,81024142939,219.74,364.8,443.9,808.7,GI3,N,Y
164,NA,Liberation,🛡Finn🛡,81002737014,1070,382.7,425.8,808.5,CK3,N,Y
165,NA,UnderWorld,(UW)Kago,81018809736,960.31,404,403.3,807.3,CK3,N,Y
166,NA,StarWar,✰☬|Vger715,81010733784,993.69,390.6,415.4,806,CK3,N,Y
167,NA,StarWar,✰☬|𝔻ionte,81007196362,1000,382.9,421.7,804.6,CK3,N,Y
168,NA,|MF|Misfits,MFlyb@nger,81006115043,563.72,394.1,410.4,804.5,DL3,N,AFK
169,NA,UnderWorld,UW💯大Mao🖕,81018450204,1150,359.7,443,802.7,CK3,N,Y
170,NA,Dominion,⚔︎E⚔︎,81004762249,771.71,388.3,411.9,800.2,CK2,N,Y
171,NA,UnderWorld,(UW)A2thefnj,81014986665,751.43,389,408.9,797.9,CK1,Diting,Y
172,NA,Divinity,☀️M53,81025663838,192.78,321.7,475.1,796.8,GI3,Luohou,Y
173,NA,HeavenFighters,HF-清源妙道,81022210487,577.42,357.1,437.3,794.4,DL3,N,Y
174,NA,CosaNostra,Dubi❤️💀🤖,81016493762,574.95,364,428.7,792.7,CK1,N,AFK
175,NA,Divinity,ɐɹʎʞ∀|☀️,81023629156,654.38,367.3,424.8,792.1,CK1,N,Y
176,NA,Dominion,⚔︎HillBilly⚔,81004558866,669.77,405.9,386,791.9,CK1,N,Y
177,NA,DownFall,DFNezho,81014117505,1580,307.3,484.2,791.5,CE2,N,Y
178,NA,DownFall,DF~ThatGuy,81014735632,1010,381.7,407.4,789.1,CK3,N,Y
179,NA,Dominion,⚔︎Gussie⚔︎,81004148810,734.27,396.7,391.9,788.6,CK2,N,Y
180,NA,Dominion,Darkking,81004740820,424.45,366.6,421.4,788,DL3,N,Y
181,NA,UnderWorld,(UW)Guyerᯓ๑ï,81015705618,1470,387.3,399.9,787.2,CE1,N,Y
182,NA,Underdogs,𝕌𝔻|QueenC,81007604904,957.39,378.1,403.3,781.4,CK3,N,Y
183,NA,Liberation,🛡️Eris🛡️,81000190917,850.46,380.6,399.4,780,CK3,N,AFK
184,NA,UnderWorld,UWDarkspawn,81016149276,1360,400.1,378.2,778.3,CE1,N,Y
185,NA,HeavenFighters,HF☪︎Astraea,81019961248,110.2,309.9,467.9,777.8,SI3,N,Y
186,NA,Liberation,🛡️Ban🛡️,81002415707,715.03,382.2,395.2,777.4,CK2,N,AFK
187,NA,DownFall,dano,81016996582,280.59,355.3,421.4,776.7,GI3,Luohou,Y
